date,semester,rank,team,acronym,total.points,previous.points,diff.points
2024,2,42,Czechia,CZE,1484.88,1480.39,4.49000000000001
2024,2,43,Norway,NOR,1484.44,1473.5,10.9400000000001
2024,2,44,Nigeria,NGA,1482.23,1503.29,-21.0599999999999
2024,2,45,Scotland,SCO,1480.24,1461.34,18.9000000000001
2024,2,46,Côte d'Ivoire,CIV,1478.47,1493.57,-15.0999999999999
2024,2,47,Venezuela,VEN,1475.71,1482.47,-6.75999999999999
2024,2,48,Qatar,QAT,1474.6,1478.6,-4
2024,2,49,Cameroon,CMR,1471.49,1472.12,-0.629999999999882
2024,2,50,Chile,CHI,1469.44,1455.22,14.22
2024,2,51,Mali,MLI,1466.1,1454.84,11.26
2024,2,52,Tunisia,TUN,1464.42,1478.52,-14.0999999999999
2024,2,53,Paraguay,PAR,1458.26,1440.78,17.48
2024,2,54,Costa Rica,CRC,1454.99,1465.57,-10.5799999999999
2024,2,55,Slovenia,SVN,1454.25,1459.59,-5.33999999999992
2024,2,56,Iraq,IRQ,1442.86,1434.4,8.45999999999981
2024,2,57,South Africa,RSA,1428.87,1415.98,12.8899999999999
2024,2,58,Uzbekistan,UZB,1424.93,1429.26,-4.32999999999993
2024,2,59,Saudi Arabia,KSA,1406.56,1422.67,-16.1100000000001
2024,2,60,Republic of Ireland,IRL,1400.22,1395.61,4.61000000000013
2024,2,61,Congo DR,COD,1395.77,1431.3,-35.53
2024,2,62,Jamaica,JAM,1390.85,1405.36,-14.51
2024,2,63,United Arab Emirates,UAE,1385.57,1361.34,24.23
2024,2,64,Jordan,JOR,1375.91,1380.75,-4.83999999999992
2024,2,65,Albania,ALB,1375.57,1379.29,-3.72000000000003
2024,2,66,Burkina Faso,BFA,1373.76,1399.8,-26.04
2024,2,67,North Macedonia,MKD,1368.96,1361.01,7.95000000000005
2024,2,68,Georgia,GEO,1362.21,1365.56,-3.34999999999991
2024,2,69,Finland,FIN,1361.53,1374.58,-13.05
2024,2,70,Iceland,ISL,1355.1,1353.18,1.91999999999985
2024,2,71,Northern Ireland,NIR,1349.58,1345.06,4.51999999999998
2024,2,72,Cabo Verde,CPV,1328.51,1340.87,-12.3599999999999
2024,2,73,Montenegro,MNE,1326.76,1323.2,3.55999999999995
2024,2,74,Bosnia and Herzegovina,BIH,1326.69,1324.43,2.25999999999999
2024,2,75,Honduras,HON,1325.93,1312.66,13.27
2024,2,76,Israel,ISR,1322.25,1303.65,18.5999999999999
2024,2,77,Ghana,GHA,1320.52,1338.73,-18.21
2024,2,78,Guinea,GUI,1311.88,1312.45,-0.569999999999936
2024,2,79,Bolivia,BOL,1308.58,1312.36,-3.77999999999997
2024,2,80,Oman,OMA,1306.67,1305.99,0.680000000000064
2024,2,81,Bahrain,BHR,1305.52,1313.8,-8.27999999999997
2024,2,82,Bulgaria,BUL,1301.04,1295.11,5.93000000000006
2024,2,83,El Salvador,SLV,1300.81,1297.99,2.81999999999994
2024,2,84,Gabon,GAB,1297.87,1294.11,3.75999999999999
2024,2,85,Angola,ANG,1296.48,1298.75,-2.26999999999998
2024,2,86,Haiti,HAI,1287.75,1283.67,4.07999999999993
2024,2,87,Zambia,ZAM,1279.24,1251.84,27.4000000000001
2024,2,88,Uganda,UGA,1270.42,1269.79,0.630000000000109
2024,2,89,Aotearoa New Zealand,NZL,1269.83,1258.11,11.72
2024,2,90,China PR,CHN,1266.38,1257.29,9.09000000000015
2024,2,91,Curaçao,CUW,1264.78,1260.87,3.91000000000008
2024,2,92,Luxembourg,LUX,1256.42,1262.08,-5.65999999999985
2024,2,93,Equatorial Guinea,EQG,1256.2,1266.68,-10.48
2024,2,94,Benin,BEN,1250.99,1250.97,0.0199999999999818
2024,2,95,Syria,SYR,1249.47,1252.19,-2.72000000000003
2024,2,96,Mozambique,MOZ,1232.7,1229.01,3.69000000000005
2024,2,97,Thailand,THA,1228.24,1231.75,-3.50999999999999
2024,2,98,Belarus,BLR,1226.31,1231.1,-4.78999999999996
2024,2,99,Kosovo,KOS,1219.82,1218.22,1.59999999999991
2024,2,100,Armenia,ARM,1219.15,1222.74,-3.58999999999992
2024,2,101,Palestine,PLE,1215.87,1218.43,-2.56000000000017
2024,2,102,Trinidad and Tobago,TRI,1214.81,1214.81,0
2024,2,103,Comoros,COM,1208.99,1185.98,23.01
2024,2,104,Tajikistan,TJK,1203.08,1196.98,6.09999999999991
2024,2,105,Guatemala,GUA,1201.35,1201.35,0
2024,2,106,Tanzania,TAN,1199.33,1173.84,25.49
2024,2,107,Kyrgyz Republic,KGZ,1194.19,1207.08,-12.8899999999999
2024,2,108,Kenya,KEN,1189.65,1195.36,-5.70999999999981
2024,2,109,Mauritania,MTN,1183.16,1168.44,14.72
2024,2,110,Kazakhstan,KAZ,1180.18,1186.46,-6.27999999999997
2024,2,111,Namibia,NAM,1179.26,1173.81,5.45000000000005
2024,2,112,Lebanon,LBN,1168.1,1167.49,0.6099999999999
2024,2,113,Sudan,SDN,1165.41,1176.2,-10.79
2024,2,114,Korea DPR,PRK,1164.41,1175.14,-10.73
2024,2,115,Madagascar,MAD,1162.02,1180,-17.98
2024,2,116,Vietnam,VIE,1161.11,1161.11,0
2024,2,117,Azerbaijan,AZE,1158.7,1161.8,-3.09999999999991
2024,2,118,Libya,LBY,1158.03,1148.7,9.32999999999993
2024,2,119,Togo,TOG,1152.18,1147.91,4.26999999999998
2024,2,120,Guinea-Bissau,GNB,1151.72,1166.34,-14.6199999999999
2024,2,121,Zimbabwe,ZIM,1151.06,1162.48,-11.4200000000001
2024,2,122,Niger,NIG,1145.96,1114.73,31.23
2024,2,123,Estonia,EST,1142.53,1145.52,-2.99000000000001
2024,2,124,Rwanda,RWA,1136.06,1130.04,6.01999999999998
2024,2,125,Indonesia,IDN,1135.11,1118.87,16.24
2024,2,126,The Gambia,GAM,1134.69,1125.62,9.07000000000016
2024,2,127,India,IND,1133.62,1133.78,-0.160000000000082
2024,2,128,Congo,CGO,1132.65,1159.42,-26.77
2024,2,129,Sierra Leone,SLE,1132.06,1149.81,-17.75
2024,2,130,Cyprus,CYP,1131.32,1127.51,3.80999999999995
2024,2,131,Malawi,MWI,1129.31,1111.16,18.1499999999999
2024,2,132,Malaysia,MAS,1117.05,1113.92,3.12999999999988
2024,2,133,Nicaragua,NCA,1114.28,1114.28,0
2024,2,134,Kuwait,KUW,1109.16,1106.42,2.74000000000001
2024,2,135,Central African Republic,CTA,1102.23,1125.26,-23.03
2024,2,136,Botswana,BOT,1098.85,1088.45,10.3999999999999
2024,2,137,Faroe Islands,FRO,1096.88,1091.52,5.36000000000013
2024,2,138,Suriname,SUR,1096.6,1105.29,-8.69000000000005
2024,2,139,Burundi,BDI,1087.26,1089.49,-2.23000000000002
2024,2,140,Latvia,LVA,1084.11,1093.82,-9.71000000000004
2024,2,141,Dominican Republic,DOM,1083.36,1071.88,11.4799999999998
2024,2,142,Lithuania,LTU,1069.96,1082.36,-12.3999999999999
2024,2,143,Turkmenistan,TKM,1065.42,1065.42,0
2024,2,144,St Kitts and Nevis,SKN,1064.99,1069.25,-4.25999999999999
2024,2,145,Liberia,LBR,1063.04,1048.86,14.1800000000001
2024,2,146,Ethiopia,ETH,1059.94,1049.28,10.6600000000001
2024,2,147,Fiji,FIJ,1049.15,1051.41,-2.25999999999999
2024,2,148,Solomon Islands,SOL,1048.75,1050.99,-2.24000000000001
2024,2,149,Philippines,PHI,1047.73,1053.09,-5.3599999999999
2024,2,150,Lesotho,LES,1046.76,1032.79,13.97
2024,2,151,Moldova,MDA,1045.59,1040.83,4.75999999999999
2024,2,152,New Caledonia,NCL,1034.43,1020.83,13.6
2024,2,153,Tahiti,TAH,1031.47,1009.52,21.95
2024,2,154,Guyana,GUY,1030.6,1008.68,21.92
2024,2,155,Afghanistan,AFG,1025,1034.37,-9.36999999999989
2024,2,156,"Hong Kong, China",HKG,1024.58,1015.1,9.4799999999999
2024,2,157,Puerto Rico,PUR,1022.83,1021.62,1.21000000000004
2024,2,158,Yemen,YEM,1017.84,1021.24,-3.39999999999998
2024,2,159,Eswatini,SWZ,1015.25,1009.19,6.05999999999995
2024,2,160,Antigua and Barbuda,ATG,1010.97,1020.58,-9.61000000000001
2024,2,161,Singapore,SGP,1007.83,1008.26,-0.42999999999995
2024,2,162,Maldives,MDV,1001.39,1003.48,-2.09000000000003
2024,2,163,Vanuatu,VAN,996.21,1015.52,-19.3099999999999
2024,2,164,Cuba,CUB,994.43,990.18,4.25
2024,2,165,Chinese Taipei,TPE,990.92,985.66,5.25999999999999
2024,2,166,Bermuda,BER,988.19,986.53,1.66000000000008
2024,2,167,Myanmar,MYA,986.15,990.98,-4.83000000000004
2024,2,168,St Lucia,LCA,985.72,997.86,-12.14
2024,2,169,Malta,MLT,983.95,980.5,3.45000000000005
2024,2,170,South Sudan,SSD,973.55,955.67,17.88
2024,2,171,Andorra,AND,971.54,977.96,-6.42000000000007
2024,2,172,Papua New Guinea,PNG,963.22,972.32,-9.10000000000002
2024,2,173,St Vincent and the Grenadines,VIN,961.92,954.86,7.05999999999995
2024,2,174,Grenada,GRN,955.44,947.22,8.22000000000003
2024,2,175,Nepal,NEP,939.2,935.93,3.2700000000001
2024,2,176,Chad,CHA,935.41,933.39,2.01999999999998
2024,2,177,Barbados,BRB,933.3,955.21,-21.9100000000001
2024,2,178,Belize,BLZ,925.02,925.02,0
2024,2,179,Mauritius,MRI,923.46,927.57,-4.11000000000001
2024,2,180,Cambodia,CAM,921.2,921.2,0
2024,2,181,Montserrat,MSR,914.26,924.14,-9.88
2024,2,182,Bhutan,BHU,904.06,904.06,0
2024,2,183,Dominica,DMA,900,903.54,-3.53999999999996
2024,2,184,Brunei Darussalam,BRU,899.87,900.75,-0.879999999999995
2024,2,185,Bangladesh,BAN,898.81,896.71,2.09999999999991
2024,2,186,Laos,LAO,889.54,889.62,-0.0800000000000409
2024,2,187,Mongolia,MNG,883.57,883.57,0
2024,2,188,American Samoa,ASA,883.17,883.17,0
2024,2,189,São Tomé and Príncipe,STP,878.09,878.09,0
2024,2,190,Cook Islands,COK,877.53,877.53,0
2024,2,191,Djibouti,DJI,877.37,875.13,2.24000000000001
2024,2,192,Samoa,SAM,876.41,890.77,-14.36
2024,2,193,Macau,MAC,871.52,871.52,0
2024,2,194,Cayman Islands,CAY,866.71,866.71,0
2024,2,195,Aruba,ARU,858,863.29,-5.28999999999996
2024,2,196,Timor-Leste,TLS,850.83,850.83,0
2024,2,197,Gibraltar,GIB,848.58,848.32,0.259999999999991
2024,2,198,Pakistan,PAK,842.59,842.59,0
2024,2,199,Tonga,TGA,835.64,835.64,0
2024,2,200,Sri Lanka,SRI,832.8,829.39,3.40999999999997
2024,2,201,Seychelles,SEY,831.19,831.19,0
2024,2,202,Somalia,SOM,829.81,829.81,0
2024,2,203,Guam,GUM,821.91,821.91,0
2024,2,204,Liechtenstein,LIE,821.71,834.15,-12.4399999999999
2024,2,205,Bahamas,BAH,818.58,818.58,0
2024,2,206,Turks and Caicos Islands,TCA,803.98,803.98,0
2024,2,207,British Virgin Islands,VGB,780.3,780.3,0
2024,2,208,US Virgin Islands,VIR,779.71,779.71,0
2024,2,209,Anguilla,AIA,769.31,769.31,0
2024,2,210,San Marino,SMR,747.42,737.04,10.38
2023,1,1,Argentina,ARG,1843.73,1843.73,0
2023,1,2,France,FRA,1843.54,1843.54,0
2023,1,3,Brazil,BRA,1828.27,1828.27,0
2023,1,4,England,ENG,1797.39,1797.39,0
2023,1,5,Belgium,BEL,1788.55,1788.55,0
2023,1,6,Croatia,CRO,1742.55,1742.55,0
2023,1,7,Netherlands,NED,1731.23,1731.23,0
2023,1,8,Italy,ITA,1726.58,1726.58,0
2023,1,9,Portugal,POR,1718.25,1718.25,0
2023,1,10,Spain,ESP,1703.45,1703.45,0
2023,1,11,USA,USA,1674.48,1673.34,1.1400000000001
2023,1,12,Mexico,MEX,1665.59,1639.19,26.3999999999999
2023,1,13,Switzerland,SUI,1661.12,1661.12,0
2023,1,14,Morocco,MAR,1655.5,1655.5,0
2023,1,15,Germany,GER,1636.32,1636.32,0
2023,1,16,Uruguay,URU,1633.13,1633.13,0
2023,1,17,Colombia,COL,1624.91,1624.91,0
2023,1,18,Senegal,SEN,1612.61,1612.61,0
2023,1,19,Denmark,DEN,1597.37,1597.37,0
2023,1,20,Japan,JPN,1595.96,1595.96,0
2023,1,21,Peru,PER,1561.2,1561.2,0
2023,1,22,IR Iran,IRN,1556.59,1556.59,0
2023,1,23,Sweden,SWE,1547.11,1547.11,0
2023,1,24,Ukraine,UKR,1541.25,1541.25,0
2023,1,25,Serbia,SRB,1539.03,1539.03,0
2023,1,26,Poland,POL,1536.99,1536.99,0
2023,1,27,Australia,AUS,1530.45,1530.45,0
2023,1,28,Korea Republic,KOR,1529.3,1529.3,0
2023,1,29,Austria,AUT,1528.06,1528.06,0
2023,1,30,Scotland,SCO,1520.24,1520.24,0
2023,1,31,Tunisia,TUN,1516.66,1516.66,0
2023,1,32,Chile,CHI,1511.31,1511.31,0
2023,1,33,Algeria,ALG,1511.23,1511.23,0
2023,1,34,Egypt,EGY,1509.89,1509.89,0
2023,1,35,Wales,WAL,1506.04,1506.04,0
2023,1,36,Hungary,HUN,1504.57,1504.57,0
2023,1,37,Czechia,CZE,1503.69,1503.69,0
2023,1,38,Russia,RUS,1495.53,1495.53,0
2023,1,39,Nigeria,NGA,1486.48,1486.48,0
2023,1,40,Ecuador,ECU,1486.47,1486.47,0
2023,1,41,Türkiye,TUR,1484.47,1484.47,0
2023,1,42,Cameroon,CMR,1470.97,1470.97,0
2023,1,43,Canada,CAN,1458.58,1454.12,4.46000000000004
2023,1,44,Norway,NOR,1458.47,1458.47,0
2023,1,45,Panama,PAN,1453.94,1399.23,54.71
2023,1,46,Costa Rica,CRC,1453.56,1478.3,-24.74
2023,1,47,Slovakia,SVK,1447.05,1447.05,0
2023,1,48,Romania,ROU,1443.98,1443.98,0
2023,1,49,Paraguay,PAR,1442.64,1442.64,0
2023,1,50,Greece,GRE,1441.06,1441.06,0
2023,1,51,Mali,MLI,1438.01,1438.01,0
2023,1,52,Côte d'Ivoire,CIV,1433.38,1433.38,0
2023,1,53,Republic of Ireland,IRL,1426.26,1426.26,0
2023,1,54,Saudi Arabia,KSA,1421.46,1421.46,0
2023,1,55,Finland,FIN,1419.47,1419.47,0
2023,1,56,Burkina Faso,BFA,1419.18,1419.18,0
2023,1,57,Venezuela,VEN,1417.23,1417.23,0
2023,1,58,Jamaica,JAM,1409.73,1367.83,41.9000000000001
2023,1,59,Qatar,QAT,1395.57,1393.52,2.04999999999995
2023,1,60,Ghana,GHA,1391.13,1391.13,0
2023,1,61,Slovenia,SVN,1391.04,1391.04,0
2023,1,62,Bosnia and Herzegovina,BIH,1381.1,1381.1,0
2023,1,63,South Africa,RSA,1368.25,1369.49,-1.24000000000001
2023,1,64,Northern Ireland,NIR,1361.17,1361.17,0
2023,1,65,Albania,ALB,1357.39,1357.39,0
2023,1,66,Cabo Verde,CPV,1354.65,1354.65,0
2023,1,67,Iceland,ISL,1352.98,1352.98,0
2023,1,68,North Macedonia,MKD,1350.53,1350.53,0
2023,1,69,Congo DR,COD,1350.11,1350.11,0
2023,1,70,Iraq,IRQ,1345.21,1345.21,0
2023,1,71,Montenegro,MNE,1343.45,1343.45,0
2023,1,72,United Arab Emirates,UAE,1336.28,1336.28,0
2023,1,73,Oman,OMA,1332.45,1332.45,0
2023,1,74,Uzbekistan,UZB,1327.58,1327.58,0
2023,1,75,El Salvador,SLV,1325.47,1317.64,7.82999999999993
2023,1,76,Israel,ISR,1323.81,1323.81,0
2023,1,77,Bulgaria,BUL,1315.48,1315.48,0
2023,1,78,Georgia,GEO,1312.8,1312.8,0
2023,1,79,Honduras,HON,1309.23,1296.42,12.8099999999999
2023,1,80,China PR,CHN,1304.78,1304.78,0
2023,1,81,Guinea,GUI,1296.75,1296.75,0
2023,1,82,Jordan,JOR,1296.26,1296.26,0
2023,1,83,Bolivia,BOL,1295.09,1295.09,0
2023,1,84,Zambia,ZAM,1293.77,1290.2,3.56999999999994
2023,1,85,Gabon,GAB,1285.25,1285.25,0
2023,1,86,Bahrain,BHR,1282.05,1282.05,0
2023,1,87,Haiti,HAI,1272.64,1275.96,-3.31999999999994
2023,1,88,Curaçao,CUW,1267.87,1267.87,0
2023,1,89,Luxembourg,LUX,1262.72,1262.72,0
2023,1,90,Armenia,ARM,1252.6,1252.6,0
2023,1,91,Equatorial Guinea,EQG,1251.83,1251.83,0
2023,1,92,Uganda,UGA,1250.32,1250.32,0
2023,1,93,Benin,BEN,1248.13,1248.13,0
2023,1,94,Syria,SYR,1241.62,1241.62,0
2023,1,95,Vietnam,VIE,1238.23,1238.23,0
2023,1,96,Palestine,PLE,1233.02,1233.02,0
2023,1,97,Kyrgyz Republic,KGZ,1224.8,1224.8,0
2023,1,98,Belarus,BLR,1212.28,1212.28,0
2023,1,99,India,IND,1208.69,1204.9,3.78999999999996
2023,1,100,Lebanon,LBN,1205.77,1201.74,4.02999999999997
2023,1,101,Mauritania,MTN,1205.18,1205.18,0
2023,1,102,Trinidad and Tobago,TRI,1199.74,1203.28,-3.53999999999996
2023,1,103,Aotearoa New Zealand,NZL,1199.04,1199.04,0
2023,1,104,Kazakhstan,KAZ,1198.24,1198.24,0
2023,1,105,Kenya,KEN,1191.07,1191.07,0
2023,1,106,Congo,CGO,1190.63,1190.63,0
2023,1,107,Guatemala,GUA,1186.71,1166.6,20.1100000000001
2023,1,108,Madagascar,MAD,1186.09,1186.09,0
2023,1,109,Kosovo,KOS,1179.69,1179.69,0
2023,1,110,Tajikistan,TJK,1179.54,1179.54,0
2023,1,111,Estonia,EST,1179.3,1179.3,0
2023,1,112,Guinea-Bissau,GNB,1178.93,1178.93,0
2023,1,113,Thailand,THA,1174.37,1174.37,0
2023,1,114,Namibia,NAM,1172.41,1175.14,-2.73000000000002
2023,1,115,Korea DPR,PRK,1169.96,1169.96,0
2023,1,116,Angola,ANG,1169.07,1170.76,-1.69000000000005
2023,1,117,Mozambique,MOZ,1164.25,1165.85,-1.59999999999991
2023,1,118,Cyprus,CYP,1163.73,1163.73,0
2023,1,119,The Gambia,GAM,1159.82,1159.82,0
2023,1,120,Sierra Leone,SLE,1156.11,1156.11,0
2023,1,121,Azerbaijan,AZE,1143.22,1143.22,0
2023,1,122,Togo,TOG,1140.88,1140.88,0
2023,1,123,Malawi,MWI,1140.65,1133.17,7.48000000000002
2023,1,124,Tanzania,TAN,1138.79,1138.79,0
2023,1,125,Zimbabwe,ZIM,1138.56,1138.56,0
2023,1,126,Central African Republic,CTA,1133.5,1133.5,0
2023,1,127,Libya,LBY,1130.75,1130.75,0
2023,1,128,Niger,NIG,1129.67,1129.67,0
2023,1,129,Faroe Islands,FRO,1126.3,1126.3,0
2023,1,130,Comoros,COM,1119.99,1122.82,-2.82999999999993
2023,1,131,Sudan,SDN,1116.21,1116.21,0
2023,1,132,Antigua and Barbuda,ATG,1107.51,1107.51,0
2023,1,133,Solomon Islands,SOL,1097.61,1097.61,0
2023,1,134,Latvia,LVA,1096.19,1096.19,0
2023,1,135,Philippines,PHI,1095.66,1095.66,0
2023,1,136,Malaysia,MAS,1091.57,1091.57,0
2023,1,137,Kuwait,KUW,1090.42,1084.34,6.08000000000015
2023,1,138,Turkmenistan,TKM,1089.77,1089.77,0
2023,1,139,Rwanda,RWA,1089.46,1089.46,0
2023,1,140,Burundi,BDI,1085.06,1085.06,0
2023,1,141,Nicaragua,NCA,1076.11,1076.11,0
2023,1,142,Ethiopia,ETH,1074.47,1074.47,0
2023,1,143,Suriname,SUR,1073.57,1073.57,0
2023,1,144,Lithuania,LTU,1069.97,1069.97,0
2023,1,145,St Kitts and Nevis,SKN,1066.81,1092.03,-25.22
2023,1,146,Eswatini,SWZ,1058.19,1058.82,-0.629999999999882
2023,1,147,Botswana,BOT,1054.31,1052.37,1.94000000000005
2023,1,148,Liberia,LBR,1049.94,1049.94,0
2023,1,149,"Hong Kong, China",HKG,1049.74,1049.74,0
2023,1,150,Indonesia,IDN,1047.46,1047.46,0
2023,1,151,Lesotho,LES,1038.68,1035.1,3.58000000000015
2023,1,152,Dominican Republic,DOM,1036.74,1036.74,0
2023,1,153,Chinese Taipei,TPE,1028.18,1028.18,0
2023,1,154,Andorra,AND,1022.3,1022.3,0
2023,1,155,Maldives,MDV,1021.85,1024.72,-2.87
2023,1,156,Yemen,YEM,1020.37,1020.37,0
2023,1,157,Afghanistan,AFG,1020.32,1020.32,0
2023,1,158,Singapore,SGP,1014.78,1014.78,0
2023,1,159,Papua New Guinea,PNG,1003.28,1003.28,0
2023,1,160,Myanmar,MYA,1000.26,1000.26,0
2023,1,161,New Caledonia,NCL,995.58,995.58,0
2023,1,162,Tahiti,TAH,995.11,995.11,0
2023,1,163,Puerto Rico,PUR,993.8,993.8,0
2023,1,164,Moldova,MDA,990.73,990.73,0
2023,1,165,Vanuatu,VAN,986.44,986.44,0
2023,1,166,Barbados,BRB,984.05,984.05,0
2023,1,167,South Sudan,SSD,983.35,983.35,0
2023,1,168,Guyana,GUY,981.69,981.69,0
2023,1,169,Fiji,FIJ,980.48,980.48,0
2023,1,170,St Lucia,LCA,978.91,978.91,0
2023,1,171,Malta,MLT,972.86,972.86,0
2023,1,172,Cuba,CUB,968.29,984.84,-16.5500000000001
2023,1,173,Bermuda,BER,966.27,966.27,0
2023,1,174,Grenada,GRN,960.77,960.77,0
2023,1,175,Nepal,NEP,958.05,959.36,-1.31000000000006
2023,1,176,Cambodia,CAM,942.97,942.97,0
2023,1,177,Belize,BLZ,939.96,939.96,0
2023,1,178,St Vincent and the Grenadines,VIN,938.28,938.28,0
2023,1,179,Montserrat,MSR,938.02,938.02,0
2023,1,180,Mauritius,MRI,936.09,936.03,0.0600000000000591
2023,1,181,Chad,CHA,930.22,930.22,0
2023,1,182,Macau,MAC,913.68,913.68,0
2023,1,183,Mongolia,MNG,908.71,908.71,0
2023,1,184,Dominica,DMA,904.88,904.88,0
2023,1,185,Bhutan,BHU,900.65,906.36,-5.71000000000004
2023,1,186,São Tomé and Príncipe,STP,900.07,900.07,0
2023,1,187,Laos,LAO,899.58,899.58,0
2023,1,188,Cook Islands,COK,899.33,899.33,0
2023,1,189,Bangladesh,BAN,892.44,889.5,2.94000000000005
2023,1,190,Brunei Darussalam,BRU,891.12,891.12,0
2023,1,191,Djibouti,DJI,889.2,889.2,0
2023,1,192,Timor-Leste,TLS,860.45,860.45,0
2023,1,193,Cayman Islands,CAY,859.83,859.83,0
2023,1,194,Seychelles,SEY,856.71,860.13,-3.41999999999996
2023,1,195,Eritrea,ERI,855.56,855.56,0
2023,1,196,Somalia,SOM,854.72,854.72,0
2023,1,197,Bahamas,BAH,852.87,852.87,0
2023,1,198,Gibraltar,GIB,851.64,851.64,0
2023,1,199,Aruba,ARU,850.88,850.88,0
2023,1,200,Liechtenstein,LIE,848.82,848.82,0
2023,1,201,Pakistan,PAK,847.67,852.13,-4.46000000000004
2023,1,202,Turks and Caicos Islands,TCA,839.39,839.39,0
2023,1,203,Guam,GUM,838.33,838.33,0
2023,1,204,Sri Lanka,SRI,825.25,825.25,0
2023,1,205,US Virgin Islands,VIR,816.59,816.59,0
2023,1,206,British Virgin Islands,VGB,804.11,804.11,0
2023,1,207,Anguilla,AIA,785.69,785.69,0
2023,1,208,San Marino,SMR,753.11,753.11,0
2023,2,1,Argentina,ARG,1855.2,1855.2,0
2023,2,2,France,FRA,1845.44,1845.44,0
2023,2,3,England,ENG,1800.05,1800.05,0
2023,2,4,Belgium,BEL,1798.46,1798.46,0
2023,2,5,Brazil,BRA,1784.09,1784.09,0
2023,2,6,Netherlands,NED,1745.48,1745.48,0
2023,2,7,Portugal,POR,1745.06,1745.06,0
2023,2,8,Spain,ESP,1732.64,1732.64,0
2023,2,9,Italy,ITA,1718.82,1718.82,0
2023,2,10,Croatia,CRO,1717.57,1717.57,0
2023,2,11,Uruguay,URU,1665.99,1665.99,0
2023,2,12,USA,USA,1665.27,1665.27,0
2023,2,13,Morocco,MAR,1661.69,1661.69,0
2023,2,14,Colombia,COL,1655.29,1651.2,4.08999999999992
2023,2,15,Mexico,MEX,1652.7,1655.21,-2.50999999999999
2023,2,16,Germany,GER,1631.22,1631.22,0
2023,2,17,Japan,JPN,1620.19,1620.19,0
2023,2,18,Switzerland,SUI,1613.44,1613.44,0
2023,2,19,Denmark,DEN,1601.31,1601.31,0
2023,2,20,Senegal,SEN,1594.31,1594.31,0
2023,2,21,IR Iran,IRN,1565.08,1565.08,0
2023,2,22,Ukraine,UKR,1553.35,1553.35,0
2023,2,23,Korea Republic,KOR,1550.65,1550.65,0
2023,2,24,Austria,AUT,1546.1,1546.1,0
2023,2,25,Australia,AUS,1539.22,1539.22,0
2023,2,26,Sweden,SWE,1530.19,1530.19,0
2023,2,27,Hungary,HUN,1525.13,1525.13,0
2023,2,28,Tunisia,TUN,1523.23,1523.23,0
